;urls
61;https://www.tokopedia.com/momomaru/salmon-kani-mentai-family-pack?whid=0
62;https://www.tokopedia.com/kiddiesworld123/coipan-kulit-tipis-home-made-by-kiddies-world-mom-since-1999?whid=0
63;https://www.tokopedia.com/serasajakarta/chicken-potato-salad-by-serasa?src=topads
64;https://www.tokopedia.com/serasajakarta/salad-roll-by-serasa?src=topads
65;https://www.tokopedia.com/kombinistore/salad-sayuran-segar?src=topads
66;https://www.tokopedia.com/samwonshop/kimchi-sawi-fresh-1-kg-samwon-makanan-korea?src=topads
67;https://www.tokopedia.com/kimchi-id/kimchi-fresh-homemade-1-kg-tdk-bubble-wrap-potong-normal?src=topads
68;https://www.tokopedia.com/serasajakarta/beef-rainbow-roll-by-serasa-salad?whid=0
69;https://www.tokopedia.com/kimchi-heaven/fresh-korean-kimchi-mix-sawi-lobak-timun-per-100g-halal-fresh?whid=0
70;https://www.tokopedia.com/serasajakarta/salad-wrap-by-serasa?whid=0
71;https://www.tokopedia.com/kokinadago/kokina-kimchi-500-gr-homemade?whid=0
72;https://www.tokopedia.com/kimchi-heaven/kimchi-daun-bawang-pa-kimchi-500g?whid=0
73;https://www.tokopedia.com/serasajakarta/salad-roll-by-serasa?whid=0
74;https://www.tokopedia.com/felixlagusta/kimchi-homemade-authentic-korea-500-gram?whid=0
75;https://www.tokopedia.com/majujayavg/greenfarm-crispy-g-400-gr-kui-fei-vegetarian?whid=0
76;https://www.tokopedia.com/ykonlineshopping/lobak-asin-special-cap-garuda-500gr?whid=0
77;https://www.tokopedia.com/kotokimchi/koto-kimchi-classic?whid=0
78;https://www.tokopedia.com/dapursakinahku/kimchi-original-kimci-kimchi-non-alkohol-kimchi-halal-1kg?src=topads
79;https://www.tokopedia.com/kimchi-heaven/fresh-korean-kimchi-sawi-baechu-kimchi-per-100g-halal-authentic-ktaste-fresh?whid=0
80;https://www.tokopedia.com/ykonlineshopping/lobak-manis-chai-po-cai-po?whid=0
81;https://www.tokopedia.com/jinjjakstore/jinjja-kimchi-1kg-fresh-hand-made-asli-buatan-orang-korea?src=topads
